,title,hits
6,"바다에 길을, 하늘에 빛을 [모세의 노래] (Official) | 마커스워십 | The Way, The Light (Song of Moses)",403166
7,하늘의 것을 구하게 하소서 (Official) | 마커스워십 | Seeking for the Heaven’s [KOR/SUB],258918
24,실로암 - 마커스워십 ON Vol.5 | 메인 건반 커버 A.Piano Cover | 리드시트 포함 | Siloam,23509
10,좋으신 하나님 - 마커스워십 ON Vol.6 | 메인 건반 커버 A.Piano Cover | 리드시트 포함 | You are good,23298
31,낮은 자의 하나님 (나의 가장 낮은 마음) - 마커스워십 | 메인 건반 커버 A.Piano Cover | 리드시트 포함 | God of the lower ones,20946
9,내 마음을 가득 채운 - 마커스워십 ON Vol.3 | 메인 건반 커버 A.Piano Cover | Here I am again,18746
21,"주님의 사랑 - 마커스워십 | 메인 건반 커버 A.Piano Cover | 리드시트 포함 | Jesus, Your love",18556
25,내 마음 다해 - 마커스워십 | 피아노 솔로 포함 | 메인 건반 커버 A.Piano Cover | 리드시트 포함 | My heart sings praises,17094
5,[묵상찬양] 하니 '행복' 피아노 커버 - YS MUSIC,16667
19,만족함이 없었네 - 마커스워십 ON Vol.9 | 메인 건반 커버 A.Piano Cover | 리드시트 포함 | 사람을 보며 세상을 볼 땐,16431
22,"어둔 날 다 지나고 - 위러브 Your Kingdom, Our Home | 메인 건반 커버 E.Piano Cover | 리드시트 포함 | After the dark days",15843
17,내게 강 같은 평화 - 마커스워십 ON Vol.10｜피아노 솔로 포함｜메인 건반 커버 A.Piano Cover｜리드시트 포함｜저 바다보다도 더넓고｜Peace like a river,14398
26,예수가 좋다오 - 마커스워십 ON Vol.10 | 메인 건반 커버 A.Piano Cover | 리드시트 포함 | I love Jesus,13442
34,이 세상은 내 집 아니네 - 마커스워십 ON Vol.8 | 메인 건반 커버 A.Piano Cover | 리드시트 포함 | This world is not my home,11687
30,비 준비하시니 - 위러브 | 메인 건반 커버 A.Piano Cover | 리드시트 포함 | Psalm 147,11470
32,예수 십자가에 흘린 피로써 + 죄에서 자유를 얻게 함은 - 마커스워십 | 메인 건반 커버 A.Piano Cover | 리드시트 포함 | Have you been to Jesus,10292
8,예수밖에는 없네,8991
33,주와 같이 길 가는 것 - 마커스워십 | 메인 건반 커버 A.Piano Cover | 리드시트 포함 | ’Tis so sweet to walk with Jesus,8078
