,title,hits
422,"한국으로 돌아온 축구의 신 ""호나우두"" | Ronaldo O fenômeno | R9 | 신규아이콘 | 피파온라인4 | 피파4",16798086
402,"박지성이 월클이 맞냐 묻거든, 고개를 들어 이 영상을 보게 하라 (ft.박지성 인생경기)",9063000
477,Top 10 전세계가 호나우지뉴를 찬양하게 한 순간들,7446082
23,50초 만에 천하의 드록바 힘 빠지게 하는 #박지성,5979040
507,호돈신 호나우두 스페셜 ● 신의 재능을 견디지 못한 인간의 몸...,5155386
309,축구 괴물 홀란드의 그냥 어이없는 슛 궤적 #Shorts,4756903
256,프리미어리그 잔디 클래스,4191215
298,"APOSENTADOS DROGBA,HENRY E GERRARD MANTÉM A MAGIA DERAM AULA NESSE AMISTOSO DAS LENDAS NA INGLATERRA",4024892
352,한국에 온 램파드와 VS놀이를 해보았닼ㅋㅋㅋㅋ 램제스 질문에 동공지진..? l 슛포러브 Shoot for Love,3898513
293,박지성이 느끼게 해준 그날의 함성 (11UCL 맨유vs첼시 챔피언스리그 8강),3898300
331,"""공은 멘디 앞에서 멈춘다""｜에두아르 멘디 21-22 시즌 PL 활약상.zip",3607490
25,"신의 귀환, D.드록바",3442124
99,첼램덩크: 가장 극적이였던 첼시의 챔스 우승,3340638
238,길거리 인터뷰에서 리버풀 전설을 마주쳤을 때 #shorts,3283723
18,축신이라 불리는 사나이의 마지막 / 2022 FIFA 카타르월드컵 결승전 아르헨티나 vs 프랑스 [습츠_월드컵 클래식],3200425
326,Didier Drogba moment impossible to forget..,2748113
446,"호나우지뉴 vs 음바페..? 대혼돈의 축구 멀티버스를 만든 역대급 나이키 월드컵 광고 (feat. 호나우지뉴, 음바페, 반 다이크, 날강두, 호나우두, 데브라위너)",2353829
35,축구... 좋아하세요...? (첼램덩크 : 첼시 영광의 시대),2308029
359,음바페 인성,2168787
324,그 시절 첼시 씹고 뜯고 맛보고 즐기던 박지성 ｜박지성 인생경기 댓글모음 📁,2126219
411,[티비플]클라스 개쩌는 나이키 광고(소름주의ㄷㄷ),2059940
28,드록바와 음바페의 10년이 걸린 약속!,2022442
398,눈 앞에서 보는 묵직한 루카쿠 ㄷㄷ,2020931
468,Didier Drogba💨👑,1902155
395,Crazy knuckleball goal! (Wait for the replay),1866092
551,이과가 농구하는 법,1643562
519,Drogba: It's a f*cking disgrace!,1559669
299,카카 심한 반칙 ㄷㄷ,1545061
3,드록바가 축구팬들을 놀라게 했던 순간들,1536095
26,드록바가 첼시의 전설적인 공격수로 등극한 이유,1371911
57,첼시팬들이 개빡친 레전드경기,1271272
166,신께서 입장하시니 승부가 뒤집혔도다 / 2014 FIFA 브라질월드컵 C조 1차전 코트디부아르 vs 일본 [습츠_월드컵 클래식],1262118
426,"음바페, 당신이 몰랐던 11가지 사실",1235706
16,당신이 봐야할 전설적인 7번 크리스티아누 호날두 이야기,1195846
483,카카가 축구팬들을 놀라게 했던 순간들,1108780
421,게리 네빌이 퍼거슨 경에 묻다. (ft. 박지성이 메시와 상대했어야 했다) / 번역translation,1105630
516,Drogba는 가장 믿을 수 없는 경력을 쌓았습니다(MUST WATCH),901771
179,'드디어 올린 빅이어' 11-12시즌 챔스 우승을 차지한 첼시,864082
72,아무도 안 쓰는 드록바 쓰는 이유 ㅋㅋ #피파4 #shorts,857326
356,9년 만에 챔피언스리그 트로피를 들어올리는 첼시 #Shorts,842323
591,유봉훈 노래 폼 미쳤다 ㄷㄷ,795385
378,Didier Drogba - 5 Greatest Chelsea Goals | Best Goals Compilation | Chelsea FC,786788
456,WAS DROGBA BETTER THAN HENRY?,781502
19,믿습니다 드멘! 일본의 '전설의 1군'을 박살내는 '드록신' 드록바 | 2014 브라질 월드컵 C조 예선 코트디부아르vs일본 하이라이트,743432
502,7대0 맨유팬 현 상황 #shorts #쇼츠,740126
47,드록바의 주작 #Shorts,706315
515,Drogba 🔥🥶,704588
272,프랭크 램파드 풀스토리 스페셜 ( 첼시의 영원한 주장 ),694791
24,첼시에서 첼시를 만든 사나이,675998
430,한준희 해설이 뽑은 레전드 스트라이커 37인 티어!! 수-벤-레 티어는 과연?!,668292
124,"감스트 드록바,지단,가린샤 떴다!! 진심 개사기 진짜 엄청좋네요 미쳤습니다!! 피파4",636722
381,Didier Drogba Angry After Chelsea Lose In The Champions League,634552
100,'챔피언스리그 최악의 경기' 08-09 첼시 vs 바르셀로나 : 해축사건파일,629029
459,☠예능매치☠ ‘혼돈의 카오스’ 8골이나 터진 우여곡절 챔스 레전드 매치 19-20 첼시 vs 아약스ㅣ킹비티비×SPOTV,625252
509,"RANK the PLAYERS: Haaland, Drogba, Suárez ⬆️ (CHALLENGE) #Shorts",599967
115,드록바를 50초 만에 멘붕시킨 박지성 #shorts,585745
175,신청자분꺼 레전드 썼네요;; LH드록바 금카 뛰어나왔습니다 실화야? 피파4,573646
156,""" 한 시즌에 73골 28도움"" #shorts",568956
393,☠예능매치☠ ‘모든 건 무버지의 뜻대로’ 무리뉴가 그렇다면 그런거다! 13/14 챔스 8강 2차전 첼시 vs PSGㅣ킹비티비 × 스포티비,566451
462,디디에 드록바의 골든 부츠 우승 시즌 | 총 20개 목표 | 프리미어 리그 2006/07,553186
283,붙으면 1000억 드록바 인생강화 ㅋㅋㅋㅋㅋㅋㅋ,509893
345,Didier Drogba Header Chelsea vs Bayern Munich Champions league final 2011/2012,504038
226,피파3 BJ두치와뿌꾸 레전드영상 10u드로그바 10카 2000억 드맨의 탄생!,486768
434,10조 첼시 스쿼드 짭니다 공경씹어먹을팀 등장!,479988
93,☠예능매치☠ ‘13년째 무관’ 토트넘이 마지막 우승 트로피를 들었던 시즌은 어땠을까?’ 07/08 PL 27R 토트넘 홋스퍼 vs 첼시ㅣ킹비티비 × 스포티비,479170
